GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
11600001,1610612744,GSW,Golden State,201142,Kevin Durant,,F,,18:34,2.0,9.0,0.222,1.0,4.0,0.25,4.0,4.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,3.0,1.0,9.0,0.0
11600001,1610612761,TOR,Toronto,201960,DeMarre Carroll,,F,,19:29,6.0,9.0,0.667,1.0,3.0,0.3329999999999999,1.0,2.0,0.5,1.0,3.0,4.0,0.0,4.0,0.0,2.0,1.0,14.0,-6.0
11600001,1610612761,TOR,Toronto,203096,Jared Sullinger,,F,,23:16,2.0,6.0,0.3329999999999999,0.0,3.0,0.0,3.0,4.0,0.75,2.0,8.0,10.0,0.0,1.0,1.0,3.0,2.0,7.0,-2.0
11600016,1610612744,GSW,Golden State,201142,Kevin Durant,,F,,24:22,6.0,10.0,0.6,3.0,4.0,0.75,6.0,6.0,1.0,0.0,7.0,7.0,7.0,1.0,2.0,3.0,1.0,21.0,37.0
11600016,1610612746,LAC,LA,201601,Luc Mbah a Moute,,F,,10:57,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-24.0
11600016,1610612746,LAC,LA,201933,Blake Griffin,,F,,17:56,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,2.0,5.0,6.0,-29.0
11600026,1610612744,GSW,Golden State,201142,Kevin Durant,,F,,26:25,8.0,11.0,0.727,4.0,6.0,0.667,5.0,5.0,1.0,0.0,5.0,5.0,1.0,1.0,2.0,3.0,2.0,25.0,8.0
11600026,1610612758,SAC,Sacramento,200752,Rudy Gay,,F,,15:42,1.0,7.0,0.143,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,3.0,-7.0
11600026,1610612758,SAC,Sacramento,201585,Kosta Koufos,,F,,13:23,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,5.0,-15.0
11600063,1610612744,GSW,Golden State,201142,Kevin Durant,,F,,23:27,6.0,11.0,0.545,3.0,4.0,0.75,4.0,4.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,19.0,2.0
11600063,1610612743,DEN,Denver,201568,Danilo Gallinari,,F,,25:40,7.0,8.0,0.875,4.0,4.0,1.0,1.0,2.0,0.5,1.0,7.0,8.0,3.0,1.0,0.0,1.0,0.0,19.0,6.0
11600063,1610612743,DEN,Denver,203999,Nikola Jokic,,F,,23:12,6.0,12.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,3.0,7.0,10.0,2.0,1.0,0.0,2.0,4.0,14.0,6.0
11600068,1610612744,GSW,Golden State,201142,Kevin Durant,,F,,22:25,7.0,11.0,0.636,3.0,5.0,0.6,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,2.0,0.0,0.0,17.0,16.0
11600068,1610612747,LAL,Los Angeles,2736,Luol Deng,,F,,19:23,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,-20.0
11600068,1610612747,LAL,Los Angeles,203944,Julius Randle,,F,,24:19,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,0.0,7.0,7.0,2.0,3.0,0.0,3.0,3.0,5.0,-25.0
11600088,1610612744,GSW,Golden State,201142,Kevin Durant,,F,,30:43,10.0,19.0,0.526,0.0,3.0,0.0,7.0,7.0,1.0,1.0,5.0,6.0,4.0,2.0,1.0,2.0,0.0,27.0,5.0
11600088,1610612747,LAL,Los Angeles,201156,Nick Young,,F,,30:01,7.0,13.0,0.5379999999999999,5.0,10.0,0.5,0.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,19.0,-15.0
11600088,1610612747,LAL,Los Angeles,203944,Julius Randle,,F,,23:08,6.0,13.0,0.462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,4.0,1.0,12.0,-18.0
11600102,1610612744,GSW,Golden State,201142,Kevin Durant,,F,,30:23,11.0,21.0,0.524,5.0,8.0,0.625,1.0,2.0,0.5,0.0,7.0,7.0,6.0,0.0,1.0,2.0,4.0,28.0,1.0
